,id,name,age,number,position,photo,batch_timestamp
0,290685,Ángel Jiménez,21.0,,Goalkeeper,https://media.api-sports.io/football/players/290685.png,2024-05-25 18:34:24.312783
1,85703,T. Carrique,24.0,,Defender,https://media.api-sports.io/football/players/85703.png,2024-05-25 18:34:24.312783
2,184361,Antonio Leal,24.0,,Defender,https://media.api-sports.io/football/players/184361.png,2024-05-25 18:34:24.312783
3,30403,M. Benassi,29.0,24.0,Midfielder,https://media-1.api-sports.io/football/players/30403.png,2023-08-22 18:30:13.903897
4,1837,N. Armini,22.0,,Defender,https://media-2.api-sports.io/football/players/1837.png,2023-08-29 18:30:12.787717
5,80233,V. Stojanovski,26.0,15.0,Attacker,https://media-1.api-sports.io/football/players/80233.png,2023-06-28 18:30:11.997394
6,90666,Nicolas Feldhahn,36.0,28.0,Defender,https://media.api-sports.io/football/players/90666.png,2022-07-23 18:30:47.159949
7,22004,Moreto Cassamá,25.0,,Midfielder,https://media.api-sports.io/football/players/22004.png,2024-03-25 18:41:01.268414
8,2047,Aleix Vidal,34.0,22.0,Defender,https://media-2.api-sports.io/football/players/2047.png,2023-06-04 18:30:11.452933
9,180764,G. Artistico,21.0,,Attacker,https://media-2.api-sports.io/football/players/180764.png,2023-07-23 18:30:12.007680
10,20765,Josué Albert,30.0,17.0,Defender,https://media.api-sports.io/football/players/20765.png,2022-05-21 18:30:49.470833
11,128772,D. Zima,23.0,,Defender,https://media.api-sports.io/football/players/128772.png,2024-07-12 18:42:29.545412
12,331330,Matías Árbol,21.0,33.0,Goalkeeper,https://media.api-sports.io/football/players/331330.png,2024-07-17 18:43:08.874546
13,46940,E. Burgos,31.0,6.0,Defender,https://media.api-sports.io/football/players/46940.png,2024-06-12 14:37:57.435188
14,129880,S. Ramos,22.0,21.0,Defender,https://media.api-sports.io/football/players/129880.png,2024-06-12 14:37:57.435188
15,3398,G. Bong,34.0,13.0,Defender,https://media.api-sports.io/football/players/3398.png,2022-05-29 18:30:47.899040
16,50940,Nani,37.0,30.0,Attacker,https://media.api-sports.io/football/players/50940.png,2024-05-20 18:32:09.266592
17,30421,B. Djimsiti,30.0,6.0,Defender,https://media.api-sports.io/football/players/30421.png,2024-06-23 20:01:55.330630
18,275776,K. Asllani,21.0,21.0,Midfielder,https://media.api-sports.io/football/players/275776.png,2024-06-23 20:01:55.330630
19,48577,N. Bajrami,24.0,10.0,Midfielder,https://media.api-sports.io/football/players/48577.png,2024-06-23 20:01:55.330630
20,335071,M. Berisha,20.0,16.0,Midfielder,https://media.api-sports.io/football/players/335071.png,2024-06-23 20:01:55.330630
21,15673,Y. Ramadani,27.0,20.0,Midfielder,https://media.api-sports.io/football/players/15673.png,2024-06-23 20:01:55.330630
22,138822,A. Broja,22.0,11.0,Attacker,https://media.api-sports.io/football/players/138822.png,2024-06-23 20:01:55.330630
23,46725,R. Manaj,26.0,7.0,Attacker,https://media.api-sports.io/football/players/46725.png,2024-06-23 20:01:55.330630
24,30827,M. Erlić,25.0,5.0,Defender,https://media.api-sports.io/football/players/30827.png,2024-06-23 20:01:55.524731
25,2813,M. Dmitrović,31.0,1.0,Goalkeeper,https://media.api-sports.io/football/players/2813.png,2024-07-17 18:43:08.874546
26,1084,M. Pongračić,26.0,3.0,Defender,https://media.api-sports.io/football/players/1084.png,2024-06-23 20:01:55.524731
27,125171,J. Stanišić,23.0,2.0,Defender,https://media.api-sports.io/football/players/125171.png,2024-06-23 20:01:55.524731
28,201,M. Brozović,31.0,11.0,Midfielder,https://media.api-sports.io/football/players/201.png,2024-06-23 20:01:55.524731
29,56313,Simone Pinna,25.0,17.0,Defender,https://media.api-sports.io/football/players/56313.png,2022-07-23 18:30:47.159949
30,308346,Alberto Flores,20.0,31.0,Goalkeeper,https://media.api-sports.io/football/players/308346.png,2024-07-17 18:43:08.874546
31,754,L. Modrić,38.0,10.0,Midfielder,https://media.api-sports.io/football/players/754.png,2024-06-23 20:01:55.524731
32,2763,M. Pašalić,28.0,15.0,Midfielder,https://media.api-sports.io/football/players/2763.png,2024-06-23 20:01:55.524731
33,842,N. Vlašić,26.0,13.0,Midfielder,https://media.api-sports.io/football/players/842.png,2024-06-23 20:01:55.524731
34,46746,A. Budimir,32.0,16.0,Attacker,https://media.api-sports.io/football/players/46746.png,2024-06-23 20:01:55.524731
35,19172,Ø. Nyland,33.0,13.0,Goalkeeper,https://media.api-sports.io/football/players/19172.png,2024-07-17 18:43:08.874546
36,2360,D. Giannoulis,28.0,30.0,Defender,https://media.api-sports.io/football/players/2360.png,2024-05-16 18:35:28.932125
37,290686,Rafael Romero,20.0,32.0,Goalkeeper,https://media.api-sports.io/football/players/290686.png,2024-07-17 18:43:08.874546
38,1493,M. Acuña,32.0,19.0,Defender,https://media.api-sports.io/football/players/1493.png,2024-07-17 18:43:08.874546
39,2852,L. Augustinsson,29.0,,Defender,https://media.api-sports.io/football/players/2852.png,2024-07-17 18:43:08.874546
40,174918,L. Badé,23.0,22.0,Defender,https://media.api-sports.io/football/players/174918.png,2024-07-17 18:43:08.874546
41,335057,Darío Benavides,20.0,29.0,Defender,https://media.api-sports.io/football/players/335057.png,2024-07-17 18:43:08.874546
42,195923,José Ángel Carmona,21.0,,Defender,https://media.api-sports.io/football/players/195923.png,2024-07-17 18:43:08.874546
43,433,Marcão,27.0,23.0,Defender,https://media.api-sports.io/football/players/433.png,2024-07-17 18:43:08.874546
44,47329,Adrià Pedrosa,25.0,3.0,Defender,https://media.api-sports.io/football/players/47329.png,2024-07-17 18:43:08.874546
45,335037,Diego Hormigo,20.0,38.0,Defender,https://media.api-sports.io/football/players/335037.png,2024-07-17 18:43:08.874546
46,2468,G. Montiel,26.0,4.0,Defender,https://media.api-sports.io/football/players/2468.png,2024-07-17 18:43:08.874546
47,2054,Jesús Navas,38.0,16.0,Defender,https://media.api-sports.io/football/players/2054.png,2024-07-17 18:43:08.874546
48,133110,T. Nianzou,21.0,14.0,Defender,https://media.api-sports.io/football/players/133110.png,2024-07-17 18:43:08.874546
49,297311,Kike Salas,21.0,27.0,Defender,https://media.api-sports.io/football/players/297311.png,2024-07-17 18:43:08.874546
50,331607,Manu Bueno,19.0,28.0,Midfielder,https://media.api-sports.io/football/players/331607.png,2024-07-17 18:43:08.874546
51,329729,Lulo Dasilva,21.0,39.0,Midfielder,https://media.api-sports.io/football/players/329729.png,2024-07-17 18:43:08.874546
52,15,T. Delaney,32.0,,Midfielder,https://media.api-sports.io/football/players/15.png,2024-07-17 18:43:08.874546
53,1650,Suso,30.0,7.0,Midfielder,https://media.api-sports.io/football/players/1650.png,2024-07-17 18:43:08.874546
54,1489,N. Gudelj,32.0,6.0,Midfielder,https://media.api-sports.io/football/players/1489.png,2024-07-17 18:43:08.874546
55,340152,S. Idumbo-Muzambo,18.0,41.0,Midfielder,https://media.api-sports.io/football/players/340152.png,2024-07-17 18:43:08.874546
56,2924,A. Januzaj,28.0,25.0,Midfielder,https://media.api-sports.io/football/players/2924.png,2024-07-17 18:43:08.874546
57,47389,Joan Jordán,29.0,8.0,Midfielder,https://media.api-sports.io/football/players/47389.png,2024-07-17 18:43:08.874546
58,1911,L. Ocampos,29.0,5.0,Midfielder,https://media.api-sports.io/football/players/1911.png,2024-07-17 18:43:08.874546
59,119235,Pedro Ortiz,23.0,,Midfielder,https://media.api-sports.io/football/players/119235.png,2024-07-17 18:43:08.874546
60,47416,Óscar Rodríguez,25.0,,Midfielder,https://media.api-sports.io/football/players/47416.png,2024-07-17 18:43:08.874546
61,182772,Juanlu Sánchez,20.0,26.0,Midfielder,https://media.api-sports.io/football/players/182772.png,2024-07-17 18:43:08.874546
62,18770,E. Jakupović,39.0,1.0,Goalkeeper,https://media-4.api-sports.io/football/players/18770.png,2023-12-09 18:34:22.906086
63,957,D. Sow,26.0,18.0,Midfielder,https://media.api-sports.io/football/players/957.png,2024-07-17 18:43:08.874546
64,39121,C. Ejuke,25.0,,Attacker,https://media.api-sports.io/football/players/39121.png,2024-07-17 18:43:08.874546
65,47422,Y. En-Nesyri,26.0,15.0,Attacker,https://media.api-sports.io/football/players/47422.png,2024-07-17 18:43:08.874546
66,22219,A. Jakubech,26.0,16.0,Goalkeeper,https://media.api-sports.io/football/players/22219.png,2024-07-09 18:33:58.503517
67,25458,D. Lukebakio,26.0,11.0,Attacker,https://media.api-sports.io/football/players/25458.png,2024-07-17 18:43:08.874546
68,185398,Isaac,23.0,20.0,Attacker,https://media.api-sports.io/football/players/185398.png,2024-07-17 18:43:08.874546
69,386270,Ibrahima Sow,22.0,30.0,Attacker,https://media.api-sports.io/football/players/386270.png,2024-07-17 18:43:08.874546
70,2036,Juan Soriano,26.0,,Goalkeeper,https://media.api-sports.io/football/players/2036.png,2024-07-17 18:43:10.694325
71,1832,Marco Alia,22.0,1.0,Goalkeeper,https://media.api-sports.io/football/players/1832.png,2022-05-01 18:30:49.555661
72,91311,Nicola Borghetto,23.0,12.0,Goalkeeper,https://media.api-sports.io/football/players/91311.png,2022-05-01 18:30:49.555661
73,38713,S. van Hooijdonk,23.0,14.0,Attacker,https://media.api-sports.io/football/players/38713.png,2024-05-16 18:35:28.932125
74,182640,Ander Iru,25.0,,Goalkeeper,https://media.api-sports.io/football/players/182640.png,2024-05-25 18:34:26.252752
75,131492,Aritz Arambarri,25.0,22.0,Defender,https://media.api-sports.io/football/players/131492.png,2024-07-17 18:43:10.694325
76,129657,Enric Franquesa,26.0,15.0,Defender,https://media.api-sports.io/football/players/129657.png,2024-07-17 18:43:10.694325
77,46849,Javi Hernández,25.0,,Defender,https://media.api-sports.io/football/players/46849.png,2024-07-17 18:43:10.694325
78,47568,Miramón,34.0,21.0,Defender,https://media.api-sports.io/football/players/47568.png,2024-07-17 18:43:10.694325
79,47407,A. Nyom,35.0,2.0,Defender,https://media.api-sports.io/football/players/47407.png,2024-07-17 18:43:10.694325
80,21701,V. Rosier,27.0,,Defender,https://media.api-sports.io/football/players/21701.png,2024-07-17 18:43:10.694325
81,47080,Jorge Sáenz,27.0,3.0,Defender,https://media.api-sports.io/football/players/47080.png,2024-07-17 18:43:10.694325
82,47420,Javier Avilés,26.0,7.0,Midfielder,https://media.api-sports.io/football/players/47420.png,2024-07-17 18:43:10.694325
83,47361,D. Brašanac,31.0,14.0,Midfielder,https://media.api-sports.io/football/players/47361.png,2024-07-17 18:43:10.694325
84,185202,Juan Cruz,23.0,11.0,Midfielder,https://media.api-sports.io/football/players/185202.png,2024-07-17 18:43:10.694325
85,41976,Y. Neyou,26.0,17.0,Midfielder,https://media.api-sports.io/football/players/41976.png,2024-07-17 18:43:10.694325
86,47321,Roberto López,23.0,,Midfielder,https://media.api-sports.io/football/players/47321.png,2024-07-17 18:43:10.694325
87,46664,Luis Perea,26.0,8.0,Midfielder,https://media.api-sports.io/football/players/46664.png,2024-07-17 18:43:10.694325
88,47262,Portillo,33.0,7.0,Midfielder,https://media.api-sports.io/football/players/47262.png,2024-07-17 18:43:10.694325
89,18829,Jack Wilshere,30.0,10.0,Midfielder,https://media.api-sports.io/football/players/18829.png,2022-05-21 18:30:49.236979
90,327,A. Ounas,27.0,11.0,Midfielder,https://media.api-sports.io/football/players/327.png,2024-07-09 18:33:58.503517
91,856,G. Chiellini,39.0,14.0,Defender,https://media-4.api-sports.io/football/players/856.png,2023-12-09 18:34:22.906086
92,47494,Miguel de la Fuente,24.0,9.0,Attacker,https://media.api-sports.io/football/players/47494.png,2024-07-17 18:43:10.694325
93,135831,Luis Castillo Grau,22.0,,Goalkeeper,https://media.api-sports.io/football/players/135831.png,2022-03-13 16:50:32.623255
94,2296,E. Hazard,32.0,7.0,Attacker,https://media-2.api-sports.io/football/players/2296.png,2023-06-04 18:30:11.452933
95,1708,Dani Raba,28.0,10.0,Attacker,https://media.api-sports.io/football/players/1708.png,2024-07-17 18:43:10.694325
96,18751,Ivan Cavaleiro,30.0,17.0,Attacker,https://media.api-sports.io/football/players/18751.png,2024-07-09 18:33:58.503517
97,30812,I. Pussetto,28.0,7.0,Attacker,https://media.api-sports.io/football/players/30812.png,2024-06-12 14:37:59.414972
98,14335,M. Vušković,22.0,44.0,Defender,https://media-3.api-sports.io/football/players/14335.png,2023-08-14 18:30:12.350959
99,153286,C. Noß,22.0,7.0,Midfielder,https://media.api-sports.io/football/players/153286.png,2024-06-27 18:44:52.944774
100,384266,Junior Bita,18.0,,Midfielder,https://media-2.api-sports.io/football/players/384266.png,2023-08-26 18:30:12.103342
101,1684,Andrés Fernández,37.0,13.0,Goalkeeper,https://media.api-sports.io/football/players/1684.png,2024-07-17 18:43:14.314038
